order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints
ORD00076,05-08-2024,Pizza Palace,North,1251,55,2.8,Refunded,Card,30,1
ORD00077,13-10-2024,Spice Garden,South,362,44,3.3,Delivered,Card,19,2
ORD00078,01-06-2024,Burger Hub,East,824,34,4.4,Delivered,UPI,30,3
ORD00079,12-12-2024,Sushi Bay,North,1102,79,2.9,Delayed,Cash,3,3
ORD00080,11-11-2024,Spice Garden,Central,150,62,3.7,Cancelled,Wallet,25,3
ORD00081,06-09-2024,Burger Hub,East,1657,29,4.7,Delivered,UPI,24,1
ORD00082,06-10-2024,Burger Hub,Central,618,74,2.1,Cancelled,Wallet,13,0
ORD00083,02-12-2024,Sushi Bay,West,777,73,2.7,Delayed,Cash,25,0
ORD00084,02-12-2024,Spice Garden,North,1518,18,2.6,Refunded,Wallet,26,1
ORD00085,01-03-2024,Sushi Bay,Central,1495,63,2.7,Cancelled,Wallet,19,0
ORD00086,15-10-2024,Sushi Bay,Central,583,20,4.9,Delivered,Card,14,2
ORD00087,20-03-2024,Wrap & Roll,North,293,87,4.5,Cancelled,Wallet,0,1
ORD00088,26-01-2024,Sushi Bay,Central,423,72,4.5,Delayed,Cash,20,3
ORD00089,10-02-2024,Pizza Palace,East,432,27,4.9,Delivered,Wallet,12,0
ORD00090,20-09-2024,Sushi Bay,East,972,49,3.4,Delivered,Card,13,3
ORD00091,14-12-2024,Sushi Bay,Central,1204,60,5,Cancelled,Cash,1,3
ORD00092,13-08-2024,Burger Hub,Central,683,87,3.8,Delayed,Wallet,25,3
ORD00093,09-01-2024,Pizza Palace,West,739,44,3.6,Delayed,UPI,29,3
ORD00094,09-01-2024,Spice Garden,North,435,83,4.3,Refunded,Cash,12,1
ORD00095,07-08-2024,Sushi Bay,East,1524,66,2.1,Delivered,Wallet,30,1
ORD00096,12-03-2024,Burger Hub,North,911,61,2.4,Delayed,Cash,19,2
ORD00097,25-10-2024,Pizza Palace,West,324,28,2.7,Refunded,Cash,21,2
ORD00098,05-10-2024,Pizza Palace,West,467,21,2.9,Refunded,Wallet,14,0
ORD00099,09-07-2024,Pizza Palace,East,712,55,2.7,Delayed,UPI,18,3
ORD00100,02-05-2024,Burger Hub,West,453,80,4.7,Delayed,UPI,9,0
ORD00101,28-07-2024,Sushi Bay,South,1044,60,2.6,Refunded,Wallet,6,1
ORD00102,06-10-2024,Pizza Palace,South,1355,17,4.3,Cancelled,UPI,16,3
ORD00103,13-08-2024,Wrap & Roll,North,1574,74,2.2,Refunded,UPI,5,3
ORD00104,05-05-2024,Wrap & Roll,West,880,39,2.5,Delayed,Card,18,1
ORD00105,12-04-2024,Burger Hub,Central,1195,67,3.2,Delivered,Card,6,3
ORD00106,02-03-2024,Pizza Palace,East,1377,60,2.3,Delivered,Wallet,6,1
ORD00107,27-06-2024,Spice Garden,West,905,21,2.6,Delayed,Cash,17,1
ORD00108,14-05-2024,Sushi Bay,South,1245,28,5,Delayed,Wallet,26,2
ORD00109,16-09-2024,Spice Garden,West,1260,57,4.5,Delivered,Cash,28,0
ORD00110,10-05-2024,Wrap & Roll,North,983,85,4.5,Refunded,Card,8,0
ORD00111,07-03-2024,Burger Hub,East,174,39,3,Refunded,Card,21,2
ORD00112,08-06-2024,Spice Garden,East,1189,80,4.2,Refunded,Card,7,0
ORD00113,20-10-2024,Sushi Bay,East,149,76,2.4,Delayed,UPI,7,2
ORD00114,20-04-2024,Wrap & Roll,North,837,39,3.3,Delayed,UPI,8,1
ORD00115,28-01-2024,Pizza Palace,Central,856,84,4.7,Cancelled,UPI,8,0
ORD00116,14-02-2024,Sushi Bay,Central,316,30,5,Cancelled,UPI,1,0
ORD00117,28-05-2024,Spice Garden,South,1278,68,2.4,Cancelled,Cash,11,1
ORD00118,15-03-2024,Wrap & Roll,South,225,43,2.4,Delayed,Cash,16,1
ORD00119,01-04-2024,Pizza Palace,South,772,45,3.9,Refunded,Card,3,1
ORD00120,16-04-2024,Pizza Palace,South,419,36,2,Delivered,UPI,4,2
ORD00121,11-05-2024,Burger Hub,North,278,20,4.6,Delivered,Wallet,12,2
ORD00122,14-07-2024,Wrap & Roll,East,1646,53,4.4,Refunded,Card,6,3
ORD00123,12-04-2024,Pizza Palace,East,1033,76,3.3,Delivered,Cash,12,0
ORD00124,11-08-2024,Sushi Bay,North,674,58,4.7,Delayed,Wallet,11,1
ORD00125,04-03-2024,Spice Garden,South,282,33,3.8,Delivered,UPI,10,0
ORD00126,07-02-2024,Burger Hub,South,697,67,4.6,Delivered,Cash,30,3
ORD00127,07-05-2024,Burger Hub,East,1501,36,4.3,Delivered,UPI,17,3
ORD00128,04-01-2024,Sushi Bay,East,977,55,5,Cancelled,UPI,13,3
ORD00129,03-02-2024,Sushi Bay,West,1466,40,2.2,Delivered,Wallet,6,3
ORD00130,08-10-2024,Spice Garden,South,434,51,3.7,Cancelled,Wallet,22,3
ORD00131,06-06-2024,Sushi Bay,North,1205,50,4.8,Delivered,Cash,17,3
ORD00132,04-07-2024,Spice Garden,South,749,67,4,Delivered,UPI,9,1
ORD00133,06-08-2024,Sushi Bay,Central,400,44,3.6,Delivered,UPI,8,0
ORD00134,14-08-2024,Pizza Palace,West,741,43,4.6,Refunded,Cash,0,2
ORD00135,10-03-2024,Pizza Palace,South,1126,89,3.3,Cancelled,Card,5,3
ORD00136,15-05-2024,Sushi Bay,West,404,38,2.4,Refunded,UPI,14,0
ORD00137,03-03-2024,Burger Hub,East,1434,39,2.9,Cancelled,Card,26,2
ORD00138,09-08-2024,Spice Garden,East,178,73,3.9,Cancelled,Card,30,2
ORD00139,28-03-2024,Burger Hub,Central,496,59,3.5,Delayed,Cash,13,3
ORD00140,11-01-2024,Spice Garden,East,1349,37,2.2,Delivered,Wallet,24,1
ORD00141,28-01-2024,Wrap & Roll,Central,767,76,3.3,Cancelled,UPI,11,0
ORD00142,14-08-2024,Burger Hub,Central,1797,81,4.2,Cancelled,UPI,0,2
ORD00143,15-06-2024,Pizza Palace,Central,1660,36,2.7,Delayed,UPI,11,0
ORD00144,18-06-2024,Sushi Bay,West,662,54,3.4,Delivered,Card,11,0
ORD00145,10-02-2024,Spice Garden,South,930,54,3.3,Cancelled,Card,4,0
ORD00146,09-12-2024,Wrap & Roll,West,438,82,4.8,Cancelled,UPI,17,0
ORD00147,22-05-2024,Pizza Palace,South,123,80,3.9,Delivered,UPI,5,3
ORD00148,06-11-2024,Wrap & Roll,North,775,31,2.8,Delivered,UPI,25,1
ORD00149,13-12-2024,Sushi Bay,North,772,27,4.4,Refunded,Card,9,3
ORD00150,25-05-2024,Burger Hub,Central,1800,71,2.3,Delayed,Card,11,0
