order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints,cancel_probability,cancel_risk
ORD00091,14-12-2024,Sushi Bay,Central,1204,60,5,Cancelled,Cash,1,3,0.95,high
ORD00092,13-08-2024,Burger Hub,Central,683,87,3.8,Delayed,Wallet,25,3,0.8,high
ORD00093,09-01-2024,Pizza Palace,West,739,44,3.6,Delayed,UPI,29,3,0.11,low
ORD00094,09-01-2024,Spice Garden,North,435,83,4.3,Refunded,Cash,12,1,0.51,low
ORD00095,07-08-2024,Sushi Bay,East,1524,66,2.1,Delivered,Wallet,30,1,0.62,high
ORD00096,12-03-2024,Burger Hub,North,911,61,2.4,Delayed,Cash,19,2,0.24,low
ORD00097,25-10-2024,Pizza Palace,West,324,28,2.7,Refunded,Cash,21,2,0.23,low
ORD00098,05-10-2024,Pizza Palace,West,467,21,2.9,Refunded,Wallet,14,0,0.29,low
ORD00099,09-07-2024,Pizza Palace,East,712,55,2.7,Delayed,UPI,18,3,0.14,low
ORD00100,02-05-2024,Burger Hub,West,453,80,4.7,Delayed,UPI,9,0,0.46,low
ORD00101,28-07-2024,Sushi Bay,South,1044,60,2.6,Refunded,Wallet,6,1,0.54,low
ORD00102,06-10-2024,Pizza Palace,South,1355,17,4.3,Cancelled,UPI,16,3,0.68,high
ORD00103,13-08-2024,Wrap & Roll,North,1574,74,2.2,Refunded,UPI,5,3,0.55,high
ORD00104,05-05-2024,Wrap & Roll,West,880,39,2.5,Delayed,Card,18,1,0.14,low
ORD00105,12-04-2024,Burger Hub,Central,1195,67,3.2,Delivered,Card,6,3,0.33,low
ORD00106,02-03-2024,Pizza Palace,East,1377,60,2.3,Delivered,Wallet,6,1,0.15,low
ORD00107,27-06-2024,Spice Garden,West,905,21,2.6,Delayed,Cash,17,1,0.37,low
ORD00108,14-05-2024,Sushi Bay,South,1245,28,5,Delayed,Wallet,26,2,0.18,low
ORD00109,16-09-2024,Spice Garden,West,1260,57,4.5,Delivered,Cash,28,0,0.3,low
ORD00110,10-05-2024,Wrap & Roll,North,983,85,4.5,Refunded,Card,8,0,0.74,high
ORD00111,07-03-2024,Burger Hub,East,174,39,3,Refunded,Card,21,2,0.23,low
ORD00112,08-06-2024,Spice Garden,East,1189,80,4.2,Refunded,Card,7,0,0.37,low
ORD00113,20-10-2024,Sushi Bay,East,149,76,2.4,Delayed,UPI,7,2,0.6,high
ORD00114,20-04-2024,Wrap & Roll,North,837,39,3.3,Delayed,UPI,8,1,0.06,low
ORD00115,28-01-2024,Pizza Palace,Central,856,84,4.7,Cancelled,UPI,8,0,0.77,high
ORD00116,14-02-2024,Sushi Bay,Central,316,30,5,Cancelled,UPI,1,0,0.79,high
ORD00117,28-05-2024,Spice Garden,South,1278,68,2.4,Cancelled,Cash,11,1,0.73,high
ORD00118,15-03-2024,Wrap & Roll,South,225,43,2.4,Delayed,Cash,16,1,0.15,low
ORD00119,01-04-2024,Pizza Palace,South,772,45,3.9,Refunded,Card,3,1,0.32,low
ORD00120,16-04-2024,Pizza Palace,South,419,36,2,Delivered,UPI,4,2,0.16,low
ORD00121,11-05-2024,Burger Hub,North,278,20,4.6,Delivered,Wallet,12,2,0.16,low
ORD00122,14-07-2024,Wrap & Roll,East,1646,53,4.4,Refunded,Card,6,3,0.34,low
ORD00123,12-04-2024,Pizza Palace,East,1033,76,3.3,Delivered,Cash,12,0,0.21,low
ORD00124,11-08-2024,Sushi Bay,North,674,58,4.7,Delayed,Wallet,11,1,0.38,low
ORD00125,04-03-2024,Spice Garden,South,282,33,3.8,Delivered,UPI,10,0,0.04,low
ORD00126,07-02-2024,Burger Hub,South,697,67,4.6,Delivered,Cash,30,3,0.26,low
ORD00127,07-05-2024,Burger Hub,East,1501,36,4.3,Delivered,UPI,17,3,0.05,low
ORD00128,04-01-2024,Sushi Bay,East,977,55,5,Cancelled,UPI,13,3,0.72,high
ORD00129,03-02-2024,Sushi Bay,West,1466,40,2.2,Delivered,Wallet,6,3,0.13,low
ORD00130,08-10-2024,Spice Garden,South,434,51,3.7,Cancelled,Wallet,22,3,0.71,high
ORD00131,06-06-2024,Sushi Bay,North,1205,50,4.8,Delivered,Cash,17,3,0.08,low
ORD00132,04-07-2024,Spice Garden,South,749,67,4,Delivered,UPI,9,1,0.43,low
ORD00133,06-08-2024,Sushi Bay,Central,400,44,3.6,Delivered,UPI,8,0,0.37,low
ORD00134,14-08-2024,Pizza Palace,West,741,43,4.6,Refunded,Cash,0,2,0.4,low
ORD00135,10-03-2024,Pizza Palace,South,1126,89,3.3,Cancelled,Card,5,3,0.8,high
ORD00136,15-05-2024,Sushi Bay,West,404,38,2.4,Refunded,UPI,14,0,0.09,low
ORD00137,03-03-2024,Burger Hub,East,1434,39,2.9,Cancelled,Card,26,2,0.07,low
ORD00138,09-08-2024,Spice Garden,East,178,73,3.9,Cancelled,Card,30,2,0.79,high
ORD00139,28-03-2024,Burger Hub,Central,496,59,3.5,Delayed,Cash,13,3,0.72,high
ORD00140,11-01-2024,Spice Garden,East,1349,37,2.2,Delivered,Wallet,24,1,0.02,low
ORD00141,28-01-2024,Wrap & Roll,Central,767,76,3.3,Cancelled,UPI,11,0,0.95,high
ORD00142,14-08-2024,Burger Hub,Central,1797,81,4.2,Cancelled,UPI,0,2,0.86,high
ORD00143,15-06-2024,Pizza Palace,Central,1660,36,2.7,Delayed,UPI,11,0,0.27,low
ORD00144,18-06-2024,Sushi Bay,West,662,54,3.4,Delivered,Card,11,0,0.16,low
ORD00145,10-02-2024,Spice Garden,South,930,54,3.3,Cancelled,Card,4,0,0.81,high
ORD00146,09-12-2024,Wrap & Roll,West,438,82,4.8,Cancelled,UPI,17,0,0.77,high
ORD00147,22-05-2024,Pizza Palace,South,123,80,3.9,Delivered,UPI,5,3,0.21,low
ORD00148,06-11-2024,Wrap & Roll,North,775,31,2.8,Delivered,UPI,25,1,0.07,low
ORD00149,13-12-2024,Sushi Bay,North,772,27,4.4,Refunded,Card,9,3,0.04,low
ORD00150,25-05-2024,Burger Hub,Central,1800,71,2.3,Delayed,Card,11,0,0.69,high
